date,open,close,high,low,volume,amount,amplitude,pct,change,turnover
2016-12-01,1.666,1.683,1.685,1.656,9439,1579347.0,1.74,1.02,0.017,0.01
2016-12-02,1.678,1.68,1.682,1.665,6739,1127544.0,1.01,-0.18,-0.003,0.01
2016-12-05,1.68,1.735,1.739,1.676,17034,2926444.0,3.75,3.27,0.055,0.02
2016-12-06,1.754,1.779,1.845,1.754,23322,4158404.0,5.24,2.54,0.044,0.02
2016-12-07,1.783,1.83,1.839,1.783,28459,5197374.0,3.15,2.87,0.051,0.03
2016-12-08,1.88,1.8,1.925,1.798,54156,10166673.0,6.94,-1.64,-0.030,0.05
2016-12-09,1.79,1.76,1.81,1.733,33243,5878440.0,4.28,-2.22,-0.040,0.03
2016-12-12,1.761,1.798,1.818,1.761,26090,4688977.0,3.24,2.16,0.038,0.03
2016-12-13,1.798,1.872,1.899,1.795,29228,5356978.0,5.78,4.12,0.074,0.03
2016-12-14,1.879,1.842,1.899,1.837,29424,5493528.0,3.31,-1.60,-0.030,0.03
2016-12-15,1.84,1.795,1.84,1.741,24958,4448346.0,5.37,-2.55,-0.047,0.02
2016-12-16,1.803,1.842,1.855,1.803,26863,4932954.0,2.90,2.62,0.047,0.03
2016-12-19,1.842,1.876,1.95,1.842,60037,11288633.0,5.86,1.85,0.034,0.06
2016-12-20,1.918,1.897,1.92,1.878,37184,7069928.0,2.24,1.12,0.021,0.04
2016-12-21,1.905,1.982,1.996,1.905,153333,29654694.0,4.80,4.48,0.085,0.15
2016-12-22,1.97,1.97,1.97,1.935,277203,54385335.0,1.77,-0.61,-0.012,0.27
2016-12-23,1.962,1.904,1.974,1.9,1804227,354297760.0,3.76,-3.35,-0.066,1.76
2016-12-26,1.876,1.911,1.946,1.87,22455,4293699.0,3.99,0.37,0.007,0.02
2016-12-27,1.912,1.84,1.928,1.823,38699,7215951.0,5.49,-3.72,-0.071,0.04
2016-12-28,1.812,1.677,1.819,1.656,104483,17864563.0,8.86,-8.86,-0.163,0.10
2016-12-29,1.55,1.615,1.64,1.53,42458,6798477.0,6.56,-3.70,-0.062,0.04
2016-12-30,1.614,1.577,1.614,1.556,59593,9398911.0,3.59,-2.35,-0.038,0.06
2017-01-03,1.435,1.451,1.488,1.435,238937,34901232.0,3.36,-7.99,-0.126,0.23
2017-01-04,1.457,1.462,1.464,1.453,177192,25824142.0,0.76,0.76,0.011,0.17
2017-01-05,1.466,1.462,1.478,1.457,155291,22703013.0,1.44,0.00,0.000,0.15
2017-01-06,1.457,1.455,1.46,1.452,93509,13628932.0,0.55,-0.48,-0.007,0.09
2017-01-09,1.457,1.459,1.462,1.457,43447,6336156.0,0.34,0.27,0.004,0.04
2017-01-10,1.459,1.452,1.459,1.445,52910,7666724.0,0.96,-0.48,-0.007,0.05
2017-01-11,1.452,1.451,1.453,1.447,28576,4146148.0,0.41,-0.07,-0.001,0.03
2017-01-12,1.455,1.453,1.458,1.452,38240,5559594.0,0.41,0.14,0.002,0.04
2017-01-13,1.45,1.454,1.455,1.448,42054,6107339.0,0.48,0.07,0.001,0.04
2017-01-16,1.452,1.454,1.455,1.45,32359,4702542.0,0.34,0.00,0.000,0.03
2017-01-17,1.454,1.442,1.454,1.439,35036,5062078.0,1.03,-0.83,-0.012,0.03
2017-01-18,1.441,1.447,1.462,1.434,56821,8210146.0,1.94,0.35,0.005,0.06
2017-01-19,1.449,1.443,1.45,1.442,26673,3858044.0,0.55,-0.28,-0.004,0.03
2017-01-20,1.442,1.439,1.442,1.437,28408,4086172.0,0.35,-0.28,-0.004,0.03
2017-01-23,1.439,1.433,1.443,1.431,42499,6103020.0,0.83,-0.42,-0.006,0.04
2017-01-24,1.434,1.431,1.438,1.43,30721,4400145.0,0.56,-0.14,-0.002,0.03
2017-01-25,1.438,1.446,1.451,1.437,48264,6968992.0,0.98,1.05,0.015,0.05
2017-01-26,1.46,1.458,1.465,1.442,109733,15963092.0,1.59,0.83,0.012,0.11
2017-02-03,1.447,1.446,1.448,1.44,37219,5372180.0,0.55,-0.82,-0.012,0.04
2017-02-06,1.454,1.459,1.459,1.453,35190,5124574.0,0.41,0.90,0.013,0.03
2017-02-07,1.457,1.456,1.457,1.454,20695,3012580.0,0.21,-0.21,-0.003,0.02
2017-02-08,1.457,1.461,1.462,1.455,29809,4349491.0,0.48,0.34,0.005,0.03
2017-02-09,1.459,1.455,1.46,1.455,28303,4124434.0,0.34,-0.41,-0.006,0.03
2017-02-10,1.464,1.472,1.473,1.463,83767,12299317.0,0.69,1.17,0.017,0.08
2017-02-13,1.476,1.481,1.486,1.474,34646,5118778.0,0.82,0.61,0.009,0.03
2017-02-14,1.486,1.48,1.487,1.478,42708,6333770.0,0.61,-0.07,-0.001,0.04
2017-02-15,1.485,1.488,1.49,1.485,52670,7836165.0,0.34,0.54,0.008,0.05
2017-02-16,1.498,1.488,1.498,1.486,78844,11755841.0,0.81,0.00,0.000,0.08
2017-02-17,1.488,1.485,1.488,1.482,29502,4378487.0,0.40,-0.20,-0.003,0.03
2017-02-20,1.486,1.49,1.49,1.483,57433,8536775.0,0.47,0.34,0.005,0.06
2017-02-21,1.492,1.489,1.493,1.487,23478,3495579.0,0.40,-0.07,-0.001,0.02
2017-02-22,1.497,1.503,1.503,1.494,64167,9618750.0,0.60,0.94,0.014,0.06
2017-02-23,1.503,1.507,1.509,1.501,35300,5315647.0,0.53,0.27,0.004,0.03
2017-02-24,1.51,1.509,1.51,1.506,43120,6504150.0,0.27,0.13,0.002,0.04
2017-02-27,1.51,1.508,1.51,1.502,18780,2831386.0,0.53,-0.07,-0.001,0.02
2017-02-28,1.508,1.519,1.521,1.508,55348,8389155.0,0.86,0.73,0.011,0.05
2017-03-01,1.514,1.541,1.543,1.511,39711,6076359.0,2.11,1.45,0.022,0.04
2017-03-02,1.568,1.623,1.688,1.568,194218,31653065.0,7.79,5.32,0.082,0.19
2017-03-03,1.6,1.63,1.64,1.6,69113,11216002.0,2.46,0.43,0.007,0.07
2017-03-06,1.63,1.678,1.684,1.63,82466,13754195.0,3.31,2.94,0.048,0.08
2017-03-07,1.667,1.628,1.694,1.58,145785,23934401.0,6.79,-2.98,-0.050,0.14
2017-03-08,1.625,1.595,1.628,1.583,91687,14631571.0,2.76,-2.03,-0.033,0.09
2017-03-09,1.595,1.556,1.596,1.546,93823,14668206.0,3.13,-2.45,-0.039,0.09
