date,open,close,high,low,amount
2016-12-01,0.833,0.842,0.843,0.828,9439.0
2016-12-02,0.839,0.84,0.841,0.833,6739.0
2016-12-05,0.84,0.868,0.87,0.838,17034.0
2016-12-06,0.877,0.89,0.923,0.877,23322.0
2016-12-07,0.892,0.915,0.92,0.892,28459.0
2016-12-08,0.94,0.9,0.963,0.899,54155.8
2016-12-09,0.895,0.88,0.905,0.867,33243.0
2016-12-12,0.881,0.899,0.909,0.881,26089.78
2016-12-13,0.899,0.936,0.95,0.898,29228.32
2016-12-14,0.94,0.921,0.95,0.919,29424.0
2016-12-15,0.92,0.898,0.92,0.871,24958.0
2016-12-16,0.902,0.921,0.928,0.902,26862.78
2016-12-19,0.921,0.938,0.975,0.921,60036.5
2016-12-20,0.959,0.949,0.96,0.939,37183.5
2016-12-21,0.953,0.991,0.998,0.953,153333.32
2016-12-22,0.985,0.985,0.985,0.968,277203.0
2016-12-23,0.981,0.952,0.987,0.95,1804227.0
2016-12-26,0.938,0.956,0.973,0.935,22454.94
2016-12-27,0.956,0.92,0.964,0.912,38698.94
2016-12-28,0.906,0.839,0.91,0.828,104483.49
2016-12-29,0.775,0.808,0.82,0.765,42457.83
2016-12-30,0.807,0.789,0.807,0.778,59593.0
2017-01-03,0.718,0.726,0.744,0.718,238936.98
2017-01-04,0.729,0.731,0.732,0.727,177192.49
2017-01-05,0.733,0.731,0.739,0.729,155291.0
2017-01-06,0.729,0.728,0.73,0.726,93509.0
2017-01-09,0.729,0.73,0.731,0.729,43446.69
2017-01-10,0.73,0.726,0.73,0.723,52910.0
2017-01-11,0.726,0.726,0.727,0.724,28576.17
2017-01-12,0.728,0.727,0.729,0.726,38240.0
2017-01-13,0.725,0.727,0.728,0.724,42054.0
2017-01-16,0.726,0.727,0.728,0.725,32359.0
2017-01-17,0.727,0.721,0.727,0.72,35036.0
2017-01-18,0.721,0.724,0.731,0.717,56821.0
2017-01-19,0.725,0.722,0.725,0.721,26673.0
2017-01-20,0.721,0.72,0.721,0.719,28408.0
2017-01-23,0.72,0.717,0.722,0.716,42499.0
2017-01-24,0.717,0.716,0.719,0.715,30721.0
2017-01-25,0.719,0.723,0.726,0.719,48263.9
2017-01-26,0.73,0.729,0.733,0.721,109732.61
2017-02-03,0.724,0.723,0.724,0.72,37219.0
2017-02-06,0.727,0.73,0.73,0.727,35189.9
2017-02-07,0.729,0.728,0.729,0.727,20695.0
2017-02-08,0.729,0.731,0.731,0.728,29808.5
2017-02-09,0.73,0.728,0.73,0.728,28303.0
2017-02-10,0.732,0.736,0.737,0.732,83767.0
2017-02-13,0.738,0.741,0.743,0.737,34646.0
2017-02-14,0.743,0.74,0.744,0.739,42708.0
2017-02-15,0.743,0.744,0.745,0.743,52670.0
2017-02-16,0.749,0.744,0.749,0.743,78844.0
2017-02-17,0.744,0.743,0.744,0.741,29502.0
2017-02-20,0.743,0.745,0.745,0.742,57433.0
2017-02-21,0.746,0.745,0.747,0.744,23478.0
2017-02-22,0.749,0.752,0.752,0.747,64167.0
2017-02-23,0.752,0.754,0.755,0.751,35300.01
2017-02-24,0.755,0.755,0.755,0.753,43120.0
2017-02-27,0.755,0.754,0.755,0.751,18780.02
2017-02-28,0.754,0.76,0.761,0.754,55348.0
2017-03-01,0.757,0.771,0.772,0.756,39711.0
2017-03-02,0.784,0.812,0.844,0.784,194218.0
2017-03-03,0.8,0.815,0.82,0.8,69113.0
2017-03-06,0.815,0.839,0.842,0.815,82466.0
2017-03-07,0.834,0.814,0.847,0.79,145785.02
2017-03-08,0.813,0.798,0.814,0.792,91687.0
2017-03-09,0.798,0.778,0.798,0.773,93823.0
2017-03-10,0.774,0.795,0.807,0.774,87622.0
2017-03-13,0.801,0.802,0.817,0.798,67133.0
2017-03-14,0.804,0.809,0.81,0.804,28136.01
2017-03-15,0.807,0.797,0.807,0.79,42546.03
2017-03-16,0.815,0.807,0.83,0.806,70166.0
2017-03-17,0.805,0.806,0.81,0.801,23649.0
2017-03-20,0.805,0.806,0.808,0.804,14448.0
2017-03-21,0.805,0.808,0.808,0.801,21909.01
2017-03-22,0.79,0.778,0.794,0.775,85167.0
2017-03-23,0.785,0.778,0.786,0.777,27313.0
2017-03-24,0.776,0.771,0.777,0.768,30789.0
2017-03-27,0.771,0.761,0.771,0.759,36501.0
2017-03-28,0.761,0.769,0.771,0.761,18113.05
2017-03-29,0.777,0.777,0.779,0.77,19706.0
2017-03-30,0.778,0.774,0.78,0.771,18205.0
2017-03-31,0.777,0.787,0.797,0.775,48060.0
2017-04-05,0.787,0.782,0.789,0.78,21347.61
2017-04-06,0.782,0.775,0.782,0.766,24591.0
2017-04-07,0.777,0.772,0.777,0.771,22060.0
2017-04-10,0.771,0.773,0.773,0.77,10932.0
2017-04-11,0.775,0.77,0.776,0.767,16523.0
2017-04-12,0.77,0.767,0.77,0.765,12364.0
