date,open,close,high,low,volume,amount,amplitude,pct,change,turnover
2016-12-01,0.833,0.842,0.843,0.828,9439,1579347.0,1.80,1.08,0.009,0.01
2016-12-02,0.839,0.84,0.841,0.833,6739,1127544.0,0.95,-0.24,-0.002,0.01
2016-12-05,0.84,0.868,0.87,0.838,17034,2926444.0,3.81,3.33,0.028,0.02
2016-12-06,0.877,0.89,0.923,0.877,23322,4158404.0,5.30,2.53,0.022,0.02
2016-12-07,0.892,0.915,0.92,0.892,28459,5197374.0,3.15,2.81,0.025,0.03
2016-12-08,0.94,0.9,0.963,0.899,54156,10166673.0,6.99,-1.64,-0.015,0.05
2016-12-09,0.895,0.88,0.905,0.867,33243,5878440.0,4.22,-2.22,-0.020,0.03
2016-12-12,0.881,0.899,0.909,0.881,26090,4688977.0,3.18,2.16,0.019,0.03
2016-12-13,0.899,0.936,0.95,0.898,29228,5356978.0,5.78,4.12,0.037,0.03
2016-12-14,0.94,0.921,0.95,0.919,29424,5493528.0,3.31,-1.60,-0.015,0.03
2016-12-15,0.92,0.898,0.92,0.871,24958,4448346.0,5.32,-2.50,-0.023,0.02
2016-12-16,0.902,0.921,0.928,0.902,26863,4932954.0,2.90,2.56,0.023,0.03
2016-12-19,0.921,0.938,0.975,0.921,60037,11288633.0,5.86,1.85,0.017,0.06
2016-12-20,0.959,0.949,0.96,0.939,37184,7069928.0,2.24,1.17,0.011,0.04
2016-12-21,0.953,0.991,0.998,0.953,153333,29654694.0,4.74,4.43,0.042,0.15
2016-12-22,0.985,0.985,0.985,0.968,277203,54385335.0,1.72,-0.61,-0.006,0.27
2016-12-23,0.981,0.952,0.987,0.95,1804227,354297760.0,3.76,-3.35,-0.033,1.76
2016-12-26,0.938,0.956,0.973,0.935,22455,4293699.0,3.99,0.42,0.004,0.02
2016-12-27,0.956,0.92,0.964,0.912,38699,7215951.0,5.44,-3.77,-0.036,0.04
2016-12-28,0.906,0.839,0.91,0.828,104483,17864563.0,8.91,-8.80,-0.081,0.10
2016-12-29,0.775,0.808,0.82,0.765,42458,6798477.0,6.56,-3.69,-0.031,0.04
2016-12-30,0.807,0.789,0.807,0.778,59593,9398911.0,3.59,-2.35,-0.019,0.06
2017-01-03,0.718,0.726,0.744,0.718,238937,34901232.0,3.30,-7.98,-0.063,0.23
2017-01-04,0.729,0.731,0.732,0.727,177192,25824142.0,0.69,0.69,0.005,0.17
2017-01-05,0.733,0.731,0.739,0.729,155291,22703013.0,1.37,0.00,0.000,0.15
2017-01-06,0.729,0.728,0.73,0.726,93509,13628932.0,0.55,-0.41,-0.003,0.09
2017-01-09,0.729,0.73,0.731,0.729,43447,6336156.0,0.27,0.27,0.002,0.04
2017-01-10,0.73,0.726,0.73,0.723,52910,7666724.0,0.96,-0.55,-0.004,0.05
2017-01-11,0.726,0.726,0.727,0.724,28576,4146148.0,0.41,0.00,0.000,0.03
2017-01-12,0.728,0.727,0.729,0.726,38240,5559594.0,0.41,0.14,0.001,0.04
2017-01-13,0.725,0.727,0.728,0.724,42054,6107339.0,0.55,0.00,0.000,0.04
2017-01-16,0.726,0.727,0.728,0.725,32359,4702542.0,0.41,0.00,0.000,0.03
2017-01-17,0.727,0.721,0.727,0.72,35036,5062078.0,0.96,-0.83,-0.006,0.03
2017-01-18,0.721,0.724,0.731,0.717,56821,8210146.0,1.94,0.42,0.003,0.06
2017-01-19,0.725,0.722,0.725,0.721,26673,3858044.0,0.55,-0.28,-0.002,0.03
2017-01-20,0.721,0.72,0.721,0.719,28408,4086172.0,0.28,-0.28,-0.002,0.03
2017-01-23,0.72,0.717,0.722,0.716,42499,6103020.0,0.83,-0.42,-0.003,0.04
2017-01-24,0.717,0.716,0.719,0.715,30721,4400145.0,0.56,-0.14,-0.001,0.03
2017-01-25,0.719,0.723,0.726,0.719,48264,6968992.0,0.98,0.98,0.007,0.05
2017-01-26,0.73,0.729,0.733,0.721,109733,15963092.0,1.66,0.83,0.006,0.11
2017-02-03,0.724,0.723,0.724,0.72,37219,5372180.0,0.55,-0.82,-0.006,0.04
2017-02-06,0.727,0.73,0.73,0.727,35190,5124574.0,0.41,0.97,0.007,0.03
2017-02-07,0.729,0.728,0.729,0.727,20695,3012580.0,0.27,-0.27,-0.002,0.02
2017-02-08,0.729,0.731,0.731,0.728,29809,4349491.0,0.41,0.41,0.003,0.03
2017-02-09,0.73,0.728,0.73,0.728,28303,4124434.0,0.27,-0.41,-0.003,0.03
2017-02-10,0.732,0.736,0.737,0.732,83767,12299317.0,0.69,1.10,0.008,0.08
2017-02-13,0.738,0.741,0.743,0.737,34646,5118778.0,0.82,0.68,0.005,0.03
2017-02-14,0.743,0.74,0.744,0.739,42708,6333770.0,0.67,-0.13,-0.001,0.04
2017-02-15,0.743,0.744,0.745,0.743,52670,7836165.0,0.27,0.54,0.004,0.05
2017-02-16,0.749,0.744,0.749,0.743,78844,11755841.0,0.81,0.00,0.000,0.08
2017-02-17,0.744,0.743,0.744,0.741,29502,4378487.0,0.40,-0.13,-0.001,0.03
2017-02-20,0.743,0.745,0.745,0.742,57433,8536775.0,0.40,0.27,0.002,0.06
2017-02-21,0.746,0.745,0.747,0.744,23478,3495579.0,0.40,0.00,0.000,0.02
2017-02-22,0.749,0.752,0.752,0.747,64167,9618750.0,0.67,0.94,0.007,0.06
2017-02-23,0.752,0.754,0.755,0.751,35300,5315647.0,0.53,0.27,0.002,0.03
2017-02-24,0.755,0.755,0.755,0.753,43120,6504150.0,0.27,0.13,0.001,0.04
2017-02-27,0.755,0.754,0.755,0.751,18780,2831386.0,0.53,-0.13,-0.001,0.02
2017-02-28,0.754,0.76,0.761,0.754,55348,8389155.0,0.93,0.80,0.006,0.05
2017-03-01,0.757,0.771,0.772,0.756,39711,6076359.0,2.11,1.45,0.011,0.04
2017-03-02,0.784,0.812,0.844,0.784,194218,31653065.0,7.78,5.32,0.041,0.19
2017-03-03,0.8,0.815,0.82,0.8,69113,11216002.0,2.46,0.37,0.003,0.07
2017-03-06,0.815,0.839,0.842,0.815,82466,13754195.0,3.31,2.94,0.024,0.08
2017-03-07,0.834,0.814,0.847,0.79,145785,23934401.0,6.79,-2.98,-0.025,0.14
2017-03-08,0.813,0.798,0.814,0.792,91687,14631571.0,2.70,-1.97,-0.016,0.09
2017-03-09,0.798,0.778,0.798,0.773,93823,14668206.0,3.13,-2.51,-0.020,0.09
