date,open,close,high,low,volume,amount,amplitude,pct,change,turnover
2016-12-01,79.899,79.907,79.911,79.89,1393550,14270703872.0,0.03,0.01,0.009,12.51
2016-12-02,79.923,79.947,79.948,79.922,1783623,18272132096.0,0.03,0.05,0.040,16.01
2016-12-05,79.948,79.967,79.97,79.947,1322732,13552856064.0,0.03,0.03,0.020,11.87
2016-12-06,79.968,79.969,79.973,79.96,972105,9961241088.0,0.02,0.00,0.002,8.73
2016-12-07,79.971,79.97,79.972,79.966,1102162,11294225664.0,0.01,0.00,0.001,9.89
2016-12-08,79.971,79.984,79.985,79.97,1106462,11338767616.0,0.02,0.02,0.014,9.93
2016-12-09,79.995,79.991,79.997,79.988,1438511,14744039680.0,0.01,0.01,0.007,12.91
2016-12-12,79.998,79.997,80.0,79.995,1134114,11624867328.0,0.01,0.01,0.006,10.18
2016-12-13,80.004,80.003,80.005,79.997,1027447,10531807744.0,0.01,0.01,0.006,9.22
2016-12-14,80.007,80.003,80.007,80.0,996029,10210073856.0,0.01,0.00,0.000,8.94
2016-12-15,79.994,79.908,79.995,79.584,1093927,11200660224.0,0.51,-0.12,-0.095,9.82
2016-12-16,79.922,79.95,79.991,79.916,1204927,12344326912.0,0.09,0.05,0.042,10.82
2016-12-19,79.965,79.981,80.0,79.944,1213101,12432493568.0,0.07,0.04,0.031,10.89
2016-12-20,80.005,80.021,80.023,79.984,1433596,14693819904.0,0.05,0.05,0.040,12.87
2016-12-21,80.023,80.034,80.051,80.023,1393189,14286010368.0,0.03,0.02,0.013,12.51
2016-12-22,80.052,80.058,80.065,80.042,1266294,12986625792.0,0.03,0.03,0.024,11.37
2016-12-23,80.07,80.079,80.085,80.068,1109290,11379061760.0,0.02,0.03,0.021,9.96
2016-12-26,80.079,80.072,80.083,80.066,1178890,12092883968.0,0.02,-0.01,-0.007,10.58
2016-12-27,80.075,80.05,80.075,80.029,1328821,13630010112.0,0.06,-0.03,-0.022,11.93
2016-12-28,80.057,80.072,80.078,80.024,1056496,10833409280.0,0.07,0.03,0.022,9.48
2016-12-29,80.056,80.141,80.144,80.04,1019120,10453954816.0,0.13,0.09,0.069,9.15
2016-12-30,80.141,80.264,80.476,80.131,854828,8561380096.0,0.43,0.15,0.123,7.67
2017-01-03,80.168,80.161,80.259,80.136,388966,3895505248.0,0.15,-0.13,-0.103,3.49
2017-01-04,80.165,80.163,80.17,80.153,290228,2905947168.0,0.02,0.00,0.002,2.61
2017-01-05,80.158,80.163,80.167,80.154,404177,4046800704.0,0.02,0.00,0.000,3.63
2017-01-06,80.174,80.191,80.199,80.168,492404,4931194880.0,0.04,0.03,0.028,4.42
2017-01-09,80.188,80.194,80.195,80.187,318640,3191310432.0,0.01,0.00,0.003,2.86
2017-01-10,80.194,80.213,80.219,80.193,314910,3154421664.0,0.03,0.02,0.019,2.83
2017-01-11,80.206,80.217,80.218,80.205,346463,3470800352.0,0.02,0.00,0.004,3.11
2017-01-12,80.215,80.213,80.218,80.21,423719,4244752560.0,0.01,0.00,-0.004,3.80
2017-01-13,80.22,80.228,80.234,80.219,368557,3692702704.0,0.02,0.02,0.015,3.31
2017-01-16,80.235,80.229,80.24,80.221,440362,4412276480.0,0.02,0.00,0.001,3.95
2017-01-17,80.231,80.22,80.234,80.216,488078,4890007040.0,0.02,-0.01,-0.009,4.38
2017-01-18,80.233,80.226,80.236,80.22,455985,4568588800.0,0.02,0.01,0.006,4.09
2017-01-19,80.225,80.208,80.226,80.2,422210,4229437744.0,0.03,-0.02,-0.018,3.79
2017-01-20,80.249,80.25,80.262,80.241,440062,4410082816.0,0.03,0.05,0.042,3.95
2017-01-23,80.268,80.287,80.289,80.267,403717,4046828096.0,0.03,0.05,0.037,3.62
2017-01-24,80.292,80.301,80.303,80.29,345954,3468538672.0,0.02,0.02,0.014,3.11
2017-01-25,80.32,80.344,80.362,80.32,428230,4295544320.0,0.05,0.05,0.043,3.84
2017-01-26,80.385,80.368,80.411,80.336,410554,4119706528.0,0.09,0.03,0.024,3.69
2017-02-03,80.386,80.391,80.399,80.385,280728,2817259872.0,0.02,0.03,0.023,2.52
2017-02-06,80.395,80.414,80.416,80.395,305486,3066142816.0,0.03,0.03,0.023,2.74
2017-02-07,80.414,80.448,80.452,80.411,375611,3770630144.0,0.05,0.04,0.034,3.37
2017-02-08,80.438,80.446,80.454,80.437,365154,3666591920.0,0.02,0.00,-0.002,3.28
2017-02-09,80.441,80.442,80.447,80.437,395602,3972079632.0,0.01,0.00,-0.004,3.55
2017-02-10,80.445,80.449,80.457,80.444,432788,4345846016.0,0.02,0.01,0.007,3.89
2017-02-13,80.453,80.455,80.458,80.444,488406,4904408064.0,0.02,0.01,0.006,4.38
