date,open,close,high,low,volume,amount,amplitude,pct,change,turnover
2016-12-01,102.403,102.411,102.415,102.394,1393550,14270703872.0,0.02,0.01,0.009,12.51
2016-12-02,102.427,102.451,102.452,102.426,1783623,18272132096.0,0.03,0.04,0.040,16.01
2016-12-05,102.452,102.471,102.474,102.451,1322732,13552856064.0,0.02,0.02,0.020,11.87
2016-12-06,102.472,102.473,102.477,102.464,972105,9961241088.0,0.01,0.00,0.002,8.73
2016-12-07,102.475,102.474,102.476,102.47,1102162,11294225664.0,0.01,0.00,0.001,9.89
2016-12-08,102.475,102.488,102.489,102.474,1106462,11338767616.0,0.01,0.01,0.014,9.93
2016-12-09,102.499,102.495,102.501,102.492,1438511,14744039680.0,0.01,0.01,0.007,12.91
2016-12-12,102.502,102.501,102.504,102.499,1134114,11624867328.0,0.00,0.01,0.006,10.18
2016-12-13,102.508,102.507,102.509,102.501,1027447,10531807744.0,0.01,0.01,0.006,9.22
2016-12-14,102.511,102.507,102.511,102.504,996029,10210073856.0,0.01,0.00,0.000,8.94
2016-12-15,102.498,102.412,102.499,102.088,1093927,11200660224.0,0.40,-0.09,-0.095,9.82
2016-12-16,102.426,102.454,102.495,102.42,1204927,12344326912.0,0.07,0.04,0.042,10.82
2016-12-19,102.469,102.485,102.504,102.448,1213101,12432493568.0,0.05,0.03,0.031,10.89
2016-12-20,102.509,102.525,102.527,102.488,1433596,14693819904.0,0.04,0.04,0.040,12.87
2016-12-21,102.527,102.538,102.555,102.527,1393189,14286010368.0,0.03,0.01,0.013,12.51
2016-12-22,102.556,102.562,102.569,102.546,1266294,12986625792.0,0.02,0.02,0.024,11.37
2016-12-23,102.574,102.583,102.589,102.572,1109290,11379061760.0,0.02,0.02,0.021,9.96
2016-12-26,102.583,102.576,102.587,102.57,1178890,12092883968.0,0.02,-0.01,-0.007,10.58
2016-12-27,102.579,102.554,102.579,102.533,1328821,13630010112.0,0.04,-0.02,-0.022,11.93
2016-12-28,102.561,102.576,102.582,102.528,1056496,10833409280.0,0.05,0.02,0.022,9.48
2016-12-29,102.56,102.645,102.648,102.544,1019120,10453954816.0,0.10,0.07,0.069,9.15
2016-12-30,100.105,100.228,100.44,100.095,854828,8561380096.0,0.34,-2.35,-2.417,7.67
2017-01-03,100.132,100.125,100.223,100.1,388966,3895505248.0,0.12,-0.10,-0.103,3.49
2017-01-04,100.129,100.127,100.134,100.117,290228,2905947168.0,0.02,0.00,0.002,2.61
2017-01-05,100.122,100.127,100.131,100.118,404177,4046800704.0,0.01,0.00,0.000,3.63
2017-01-06,100.138,100.155,100.163,100.132,492404,4931194880.0,0.03,0.03,0.028,4.42
2017-01-09,100.152,100.158,100.159,100.151,318640,3191310432.0,0.01,0.00,0.003,2.86
2017-01-10,100.158,100.177,100.183,100.157,314910,3154421664.0,0.03,0.02,0.019,2.83
